stock_code,company_name,annual_gross_margin,asset_turnover_annual,cash_share_annual,current_ratio_annual,eps_basic_excl_extra_annual,fcf_share_ttm,inventory_turnover_annual,lt_debt_equity_annual,net_interest_coverage_annual,net_profit_margin_annual,operating_margin_annual,quick_ratio_annual,receivables_turnover_annual,roe_ttm,roi_annual,roa_rfy,tangible_book_annual,total_debt_cagr_5y,total_debt_equity_annual
2858,Yixin Group Ltd,47.6977,0.12876,0.28531,1.18629,0.00567,2.70035,-99999.99,21.94752,-99999.99,0.53338,0.85811,-99999.99,6.6919,-2.89361,0.1333,0.06868,2.46736,-99999.99,128.37
2863,Golden Faith Group Holdings Ltd,16.1265,1.45466,0.27197,3.85963,0.04046,0.13396,-99999.99,0.0,-99999.99,5.78813,7.26225,-99999.99,4.50998,8.46366,10.95659,8.41975,0.38984,-18.18385,2.15267
2866,COSCO SHIPPING Development Co Ltd,25.00996,0.10028,0.99966,0.5491,0.17272,-99999.99,11.1808,261.3764,9.99071,12.32517,22.55958,0.53287,13.34205,1.15208,2.01523,1.23595,2.38715,35.68692,458.5493
2868,Beijing Capital Land Limited,24.22555,0.11711,8.58209,2.24331,0.73584,-99999.99,0.19132,216.5674,2.58557,12.35846,17.09042,0.9674,2.18795,0.91987,2.53435,1.4473,9.2538,23.33184,291.3232
2869,Greentown Service Group Co Ltd,18.02751,1.23787,1.13707,1.25426,0.1968,0.2814,22.36991,46.10516,-99999.99,5.50411,7.53435,1.1729,10.3241,6.04655,14.49594,6.81338,0.88531,71.06846,53.21147
2877,China Shineway Pharmaceutical Group Ltd.,73.22867,0.39039,5.46799,4.41683,0.73845,-99999.99,1.73246,0.02574,-99999.99,18.59389,23.85185,4.05112,12.4683,6.65631,8.45286,7.25882,7.44034,15.12924,7.00263
2878,Solomon Systech (International) Ltd,19.68926,1.17787,0.05649,2.73652,-0.08525,-99999.99,2.92691,1.51152,-99999.99,-25.6686,-26.1588,1.65785,4.97419,-15.12391,-42.50847,-30.23416,0.15567,40.53996,4.03136
2880,Dalian Port (PDA) Company Limited,29.95779,0.18877,0.36978,2.89852,0.06567,0.07252,36.57332,56.07693,6.25366,13.46591,17.1006,2.85432,6.58621,2.69267,3.13374,2.54192,1.55834,4.24884,60.82359
2882,Hong Kong Resources Holdings Co Ltd,27.82061,0.63229,0.1048,0.95815,-0.17148,0.18093,1.14824,-99999.99,-0.71368,-15.80331,-3.59265,0.56764,15.39344,-9.18504,-100.1121,-9.99222,-0.13837,11.86008,-99999.99
2883,China Oilfield Services Limited,58.56246,0.41218,2.52773,1.16142,0.60095,1.14346,9.3689,50.84391,10.68196,8.13499,12.53458,1.08957,3.34447,4.16222,4.44974,3.35305,8.74021,-0.74494,71.16358
2885,Peiport Holdings Ltd,33.82627,0.89319,0.44282,9.29526,0.07631,-99999.99,3.95271,0.72262,-99999.99,11.00874,13.39657,7.95346,2.98054,7.9353,11.91155,9.8329,0.80116,-99999.99,2.2497
2886,Binhai Investment Co Ltd,14.74672,0.58698,0.59607,0.30571,0.06907,0.13254,29.25571,3.13679,2.4793,3.36256,7.90984,0.28056,6.37087,3.38148,4.55701,1.97377,1.07433,7.2728,195.1502
2888,Standard Chartered PLC,-99999.99,-99999.99,25.74757,-99999.99,0.44113,-99999.99,-99999.99,111.2259,-99999.99,14.33999,22.75401,-99999.99,-99999.99,0.26271,-99999.99,0.33211,10.91613,1.69632,224.1142
